ADHD1	ADHD1,COPD1,AFB1
ADHD2	ADHD1,COPD1,AFB2
ADHD3	ADHD1,COPD2,AFB3
ADHD4	ADHD1,COPD3,AFB4
ADHD5	ADHD1,COPD4,AFB5
ADVENTURE1	ADVENTURE1,RISK1
ADVENTURE2	ADVENTURE1,RISK2
ADVENTURE3	ADVENTURE1,RISK3
ADVENTURE4	ADVENTURE1,RISK4
AFB1	AFB1,NEBwomen1,NEBmen1,HIGHMATH1,EA1,COPD1,ADHD1
AFB2	AFB1,NEBwomen2,NEBmen2,HIGHMATH1,EA1,COPD1,ADHD1
AFB3	AFB2,NEBwomen2,NEBmen2,HIGHMATH1,EA1,COPD1,ADHD1
AFB4	AFB3,NEBwomen3,NEBmen3,HIGHMATH1,EA2,COPD2,ADHD1
AFB5	AFB4,NEBwomen4,NEBmen4,HIGHMATH1,EA3,COPD3,ADHD1
AFB6	AFB5,NEBwomen5,NEBmen5,HIGHMATH1,EA4,COPD4,ADHD1
AGREE1	AGREE1,COGEMP1
ALLERGYCAT1	ALLERGYCAT1,HAYFEVER1,ASTHMA1,ASTECZRHI1,ALLERGYPOLLEN1,ALLERGYDUST1
ALLERGYCAT2	ALLERGYCAT1,HAYFEVER1,ASTHMA1,ASTECZRHI2,ALLERGYPOLLEN1,ALLERGYDUST1
ALLERGYCAT3	ALLERGYCAT1,HAYFEVER2,ASTHMA2,ASTECZRHI3,ALLERGYPOLLEN1,ALLERGYDUST1
ALLERGYCAT4	ALLERGYCAT1,HAYFEVER3,ASTHMA3,ASTECZRHI4,ALLERGYPOLLEN1,ALLERGYDUST1
ALLERGYCAT5	ALLERGYCAT1,HAYFEVER4,ASTHMA4,ASTECZRHI5,ALLERGYPOLLEN1,ALLERGYDUST1
ALLERGYDUST1	ALLERGYDUST1,ALLERGYCAT1,HAYFEVER1,ASTHMA1,ASTECZRHI1,ALLERGYPOLLEN1
ALLERGYDUST2	ALLERGYDUST1,ALLERGYCAT1,HAYFEVER1,ASTHMA1,ASTECZRHI2,ALLERGYPOLLEN1
ALLERGYDUST3	ALLERGYDUST1,ALLERGYCAT1,HAYFEVER2,ASTHMA2,ASTECZRHI3,ALLERGYPOLLEN1
ALLERGYDUST4	ALLERGYDUST1,ALLERGYCAT1,HAYFEVER3,ASTHMA3,ASTECZRHI4,ALLERGYPOLLEN1
ALLERGYDUST5	ALLERGYDUST1,ALLERGYCAT1,HAYFEVER4,ASTHMA4,ASTECZRHI5,ALLERGYPOLLEN1
ALLERGYPOLLEN1	ALLERGYPOLLEN1,ALLERGYCAT1,HAYFEVER1,ASTHMA1,ASTECZRHI1,ALLERGYDUST1
ALLERGYPOLLEN2	ALLERGYPOLLEN1,ALLERGYCAT1,HAYFEVER1,ASTHMA1,ASTECZRHI2,ALLERGYDUST1
ALLERGYPOLLEN3	ALLERGYPOLLEN1,ALLERGYCAT1,HAYFEVER2,ASTHMA2,ASTECZRHI3,ALLERGYDUST1
ALLERGYPOLLEN4	ALLERGYPOLLEN1,ALLERGYCAT1,HAYFEVER3,ASTHMA3,ASTECZRHI4,ALLERGYDUST1
ALLERGYPOLLEN5	ALLERGYPOLLEN1,ALLERGYCAT1,HAYFEVER4,ASTHMA4,ASTECZRHI5,ALLERGYDUST1
ASTECZRHI1	ASTECZRHI1,ALLERGYCAT1,HAYFEVER1,ECZEMA1,ASTHMA1,ALLERGYPOLLEN1,ALLERGYDUST1
ASTECZRHI2	ASTECZRHI2,ALLERGYCAT1,HAYFEVER1,ECZEMA1,ASTHMA1,ALLERGYPOLLEN1,ALLERGYDUST1
ASTECZRHI3	ASTECZRHI3,ALLERGYCAT1,HAYFEVER2,ECZEMA2,ASTHMA2,ALLERGYPOLLEN1,ALLERGYDUST1
ASTECZRHI4	ASTECZRHI4,ALLERGYCAT1,HAYFEVER3,ECZEMA3,ASTHMA3,ALLERGYPOLLEN1,ALLERGYDUST1
ASTECZRHI5	ASTECZRHI5,ALLERGYCAT1,HAYFEVER4,ECZEMA4,ASTHMA4,ALLERGYPOLLEN1,ALLERGYDUST1
ASTHMA1	ASTHMA1,ALLERGYCAT1,HAYFEVER1,ASTECZRHI1,ALLERGYPOLLEN1,ALLERGYDUST1
ASTHMA2	ASTHMA1,ALLERGYCAT1,HAYFEVER1,ASTECZRHI2,ALLERGYPOLLEN1,ALLERGYDUST1
ASTHMA3	ASTHMA2,ALLERGYCAT1,HAYFEVER2,ASTECZRHI3,ALLERGYPOLLEN1,ALLERGYDUST1
ASTHMA4	ASTHMA3,ALLERGYCAT1,HAYFEVER3,ASTECZRHI4,ALLERGYPOLLEN1,ALLERGYDUST1
ASTHMA5	ASTHMA4,ALLERGYCAT1,HAYFEVER4,ASTECZRHI5,ALLERGYPOLLEN1,ALLERGYDUST1
AUDIT1	AUDIT1,DPW1
AUDIT2	AUDIT1,DPW2
AUDIT3	AUDIT2,DPW3
AUDIT4	AUDIT3,DPW4
AUDIT5	AUDIT4,DPW5
COGEMP1	COGEMP1,AGREE1
COPD1	COPD1,SELFHEALTH1,AFB1,ADHD1
COPD2	COPD1,SELFHEALTH1,AFB2,ADHD1
COPD3	COPD2,SELFHEALTH2,AFB3,ADHD1
COPD4	COPD3,SELFHEALTH3,AFB4,ADHD1
COPD5	COPD4,SELFHEALTH4,AFB5,ADHD1
CP1	CP1,SELFMATH1,HIGHMATH1,EA1
CP2	CP2,SELFMATH1,HIGHMATH1,EA1
CP3	CP3,SELFMATH1,HIGHMATH1,EA2
CP4	CP4,SELFMATH1,HIGHMATH1,EA3
CP5	CP5,SELFMATH1,HIGHMATH1,EA4
DELAYDISC1	DELAYDISC1,HIGHMATH1,EA1
DELAYDISC2	DELAYDISC1,HIGHMATH1,EA2
DELAYDISC3	DELAYDISC1,HIGHMATH1,EA3
DELAYDISC4	DELAYDISC1,HIGHMATH1,EA4
DEP1	DEP1,SWB1,NEURO1,LONELY1,SELFHEALTH1
DEP2	DEP1,SWB1,NEURO2,LONELY1,SELFHEALTH1
DEP3	DEP2,SWB1,NEURO2,LONELY1,SELFHEALTH1
DEP4	DEP3,SWB2,NEURO3,LONELY2,SELFHEALTH2
DEP5	DEP4,SWB3,NEURO4,LONELY3,SELFHEALTH3
DEP6	DEP5,SWB4,NEURO5,LONELY4,SELFHEALTH4
DPW1	DPW1,AUDIT1
DPW2	DPW2,AUDIT1
DPW3	DPW3,AUDIT2
DPW4	DPW4,AUDIT3
DPW5	DPW5,AUDIT4
EA1	EA1,RELIGATT1,HIGHMATH1,DELAYDISC1,CP1,AFB1
EA2	EA1,RELIGATT1,HIGHMATH1,DELAYDISC1,CP1,AFB2
EA3	EA1,RELIGATT1,HIGHMATH1,DELAYDISC1,CP2,AFB2
EA4	EA2,RELIGATT2,HIGHMATH1,DELAYDISC1,CP3,AFB3
EA5	EA3,RELIGATT3,HIGHMATH1,DELAYDISC1,CP4,AFB4
EA6	EA4,RELIGATT4,HIGHMATH1,DELAYDISC1,CP5,AFB5
ECZEMA1	ECZEMA1,ASTECZRHI1
ECZEMA2	ECZEMA1,ASTECZRHI2
ECZEMA3	ECZEMA2,ASTECZRHI3
ECZEMA4	ECZEMA3,ASTECZRHI4
ECZEMA5	ECZEMA4,ASTECZRHI5
EXTRA1	EXTRA1,LEFTOUT1
EXTRA2	EXTRA2,LEFTOUT1
FAMSAT1	FAMSAT1,WORKSAT1,SWB1,FRIENDSAT1
FAMSAT2	FAMSAT2,WORKSAT2,SWB2,FRIENDSAT2
FAMSAT3	FAMSAT3,WORKSAT3,SWB3,FRIENDSAT3
FAMSAT4	FAMSAT4,WORKSAT4,SWB4,FRIENDSAT4
FINSAT1	FINSAT1,SWB1,SELFHEALTH1,LONELY1
FINSAT2	FINSAT2,SWB2,SELFHEALTH2,LONELY2
FINSAT3	FINSAT3,SWB3,SELFHEALTH3,LONELY3
FINSAT4	FINSAT4,SWB4,SELFHEALTH4,LONELY4
FRIENDSAT1	FRIENDSAT1,WORKSAT1,SWB1,LEFTOUT1,FAMSAT1
FRIENDSAT2	FRIENDSAT2,WORKSAT2,SWB2,LEFTOUT1,FAMSAT2
FRIENDSAT3	FRIENDSAT3,WORKSAT3,SWB3,LEFTOUT1,FAMSAT3
FRIENDSAT4	FRIENDSAT4,WORKSAT4,SWB4,LEFTOUT1,FAMSAT4
HAYFEVER1	HAYFEVER1,ASTHMA1,ASTECZRHI1,ALLERGYPOLLEN1,ALLERGYDUST1,ALLERGYCAT1
HAYFEVER2	HAYFEVER1,ASTHMA1,ASTECZRHI2,ALLERGYPOLLEN1,ALLERGYDUST1,ALLERGYCAT1
HAYFEVER3	HAYFEVER2,ASTHMA2,ASTECZRHI3,ALLERGYPOLLEN1,ALLERGYDUST1,ALLERGYCAT1
HAYFEVER4	HAYFEVER3,ASTHMA3,ASTECZRHI4,ALLERGYPOLLEN1,ALLERGYDUST1,ALLERGYCAT1
HAYFEVER5	HAYFEVER4,ASTHMA4,ASTECZRHI5,ALLERGYPOLLEN1,ALLERGYDUST1,ALLERGYCAT1
HIGHMATH1	HIGHMATH1,SELFMATH1,EA1,DELAYDISC1,CP1,AFB1
HIGHMATH2	HIGHMATH1,SELFMATH1,EA1,DELAYDISC1,CP1,AFB2
HIGHMATH3	HIGHMATH1,SELFMATH1,EA1,DELAYDISC1,CP2,AFB2
HIGHMATH4	HIGHMATH1,SELFMATH1,EA2,DELAYDISC1,CP3,AFB3
HIGHMATH5	HIGHMATH1,SELFMATH1,EA3,DELAYDISC1,CP4,AFB4
HIGHMATH6	HIGHMATH1,SELFMATH1,EA4,DELAYDISC1,CP5,AFB5
LEFTOUT1	LEFTOUT1,SWB1,LONELY1,FRIENDSAT1,EXTRA1
LEFTOUT2	LEFTOUT1,SWB1,LONELY1,FRIENDSAT1,EXTRA2
LEFTOUT3	LEFTOUT1,SWB2,LONELY2,FRIENDSAT2,EXTRA1
LEFTOUT4	LEFTOUT1,SWB3,LONELY3,FRIENDSAT3,EXTRA1
LEFTOUT5	LEFTOUT1,SWB4,LONELY4,FRIENDSAT4,EXTRA1
LONELY1	LONELY1,SWB1,NEURO1,LEFTOUT1,FINSAT1,DEP1
LONELY2	LONELY1,SWB1,NEURO2,LEFTOUT1,FINSAT1,DEP1
LONELY3	LONELY1,SWB1,NEURO2,LEFTOUT1,FINSAT1,DEP2
LONELY4	LONELY2,SWB2,NEURO3,LEFTOUT1,FINSAT2,DEP3
